"","target","p","padj"
"DRD3","DRD3",0.687,1
"CAMK2D","CAMK2D",0.689,1
"CAMK2G","CAMK2G",0.689,1
"ERBB2","ERBB2",0.691,1
"PTK2B","PTK2B",0.693,1
"CDC42BPA","CDC42BPA",0.697,1
"PI4KB","PI4KB",0.704,1
"PIK3C2B","PIK3C2B",0.704,1
"PIK3C3","PIK3C3",0.704,1
"FKBP1A","FKBP1A",0.709,1
"HSD17B1","HSD17B1",0.71,1
"PDE3B","PDE3B",0.714,1
"BCL2","BCL2",0.715,1
"BCL2L1","BCL2L1",0.715,1
"HMGCR","HMGCR",0.716,1
"CYP3A4","CYP3A4",0.719,1
"DRD2","DRD2",0.72,1
"GABRA1","GABRA1",0.726,1
"GABRA2","GABRA2",0.726,1
"GABRA3","GABRA3",0.726,1
"GABRA5","GABRA5",0.726,1
"GABRB3","GABRB3",0.726,1
"GABRG2","GABRG2",0.726,1
"SRMS","SRMS",0.734,1
"MAPK3","MAPK3",0.741,1
"JAK1","JAK1",0.743,1
"HTR2C","HTR2C",0.748,1
"DPP4","DPP4",0.751,1
"HRH4","HRH4",0.751,1
"CYP2D6","CYP2D6",0.752,1
"BACE1","BACE1",0.753,1
"SLC22A1","SLC22A1",0.754,1
"CNR2","CNR2",0.755,1
"TRPV1","TRPV1",0.755,1
"MKNK2","MKNK2",0.759,1
"CAMK2A","CAMK2A",0.761,1
"HRH2","HRH2",0.761,1
"CCNE2","CCNE2",0.766,1
"PRKCI","PRKCI",0.766,1
"PRKD1","PRKD1",0.766,1
"ABCB1","ABCB1",0.768,1
"DYRK3","DYRK3",0.775,1
"FES","FES",0.775,1
"OPRK1","OPRK1",0.775,1
"TEC","TEC",0.775,1
"TXK","TXK",0.775,1
"HTR3A","HTR3A",0.78,1
"STAT3","STAT3",0.781,1
"CCNA2","CCNA2",0.782,1
"YES1","YES1",0.784,1
"HCK","HCK",0.787,1
"OPRL1","OPRL1",0.788,1
"CHRM2","CHRM2",0.789,1
"TEK","TEK",0.789,1
"TOP1","TOP1",0.792,1
"GPR55","GPR55",0.799,1
"MTOR","MTOR",0.801,1
"TACR2","TACR2",0.804,1
"GSK3A","GSK3A",0.806,1
"SLC22A2","SLC22A2",0.806,1
"GSK3B","GSK3B",0.809,1
"TUBA1A","TUBA1A",0.814,1
"TUBA1B","TUBA1B",0.814,1
"TUBA1C","TUBA1C",0.814,1
"TUBA3C","TUBA3C",0.814,1
"TUBA3D","TUBA3D",0.814,1
"TUBA3E","TUBA3E",0.814,1
"TUBA4A","TUBA4A",0.814,1
"TUBB","TUBB",0.814,1
"TUBB1","TUBB1",0.814,1
"TUBB2A","TUBB2A",0.814,1
"TUBB2B","TUBB2B",0.814,1
"TUBB2C","TUBB2C",0.814,1
"TUBB3","TUBB3",0.814,1
"TUBB4","TUBB4",0.814,1
"TUBB6","TUBB6",0.814,1
"TUBB8","TUBB8",0.814,1
"EPHB2","EPHB2",0.82,1
"RIPK2","RIPK2",0.82,1
"MAOB","MAOB",0.827,1
"HTR3B","HTR3B",0.829,1
"HTR3C","HTR3C",0.829,1
"HTR3D","HTR3D",0.829,1
"HTR3E","HTR3E",0.829,1
"SIGMAR1","SIGMAR1",0.83,1
"CASP1","CASP1",0.832,1
"SLCO1B3","SLCO1B3",0.842,1
"TOP2B","TOP2B",0.843,1
"CTSB","CTSB",0.847,1
"CTSK","CTSK",0.847,1
"PRKCG","PRKCG",0.849,1
"CYP2C9","CYP2C9",0.85,1
"ADRA2C","ADRA2C",0.859,1
"HIF1A","HIF1A",0.862,1
"FGFR2","FGFR2",0.872,1
"KCNH2","KCNH2",0.877,1
"MAPK1","MAPK1",0.877,1
"BCHE","BCHE",0.878,1
"CDK5R1","CDK5R1",0.879,1
"CHRM3","CHRM3",0.88,1
"CHRM5","CHRM5",0.88,1
"FYN","FYN",0.88,1
"SLC6A2","SLC6A2",0.882,1
"MAPK14","MAPK14",0.888,1
"HRH1","HRH1",0.891,1
"EPHB4","EPHB4",0.899,1
"SLCO1B1","SLCO1B1",0.904,1
"PRKCD","PRKCD",0.906,1
"CDK4","CDK4",0.907,1
"CCNB2","CCNB2",0.911,1
"CCNB3","CCNB3",0.911,1
"ABCC1","ABCC1",0.912,1
"CDK1","CDK1",0.916,1
"CCNT1","CCNT1",0.917,1
"HTR2B","HTR2B",0.919,1
"HRH3","HRH3",0.933,1
"SSTR4","SSTR4",0.942,1
"PRKCA","PRKCA",0.945,1
"PRKCE","PRKCE",0.945,1
"PRKCH","PRKCH",0.945,1
"CCNE1","CCNE1",0.947,1
"CCNH","CCNH",0.947,1
"CCNB1","CCNB1",0.948,1
"PRNP","PRNP",0.951,1
"CDK8","CDK8",0.959,1
"FGFR4","FGFR4",0.959,1
"TNF","TNF",0.959,1
"CHRM4","CHRM4",0.967,1
"ACHE","ACHE",0.968,1
"RAF1","RAF1",0.97,1
"CHRM1","CHRM1",0.971,1
"CCNA1","CCNA1",0.973,1
"ABCC2","ABCC2",0.975,1
"SLCO2B1","SLCO2B1",0.975,1
"SLC47A1","SLC47A1",0.989,1
"PRKCB","PRKCB",0.99,1
"TOP2A","TOP2A",0.991,1
"SLC47A2","SLC47A2",0.995,1
"BRAF","BRAF",1,1
