"","target","p","padj"
"CHEMBL3961","CHEMBL3961",0.105,1
"CHEMBL4128","CHEMBL4128",0.105,1
"CHEMBL3012","CHEMBL3012",0.106,1
"CHEMBL5975","CHEMBL5975",0.107,1
"CHEMBL2129","CHEMBL2129",0.108,1
"CHEMBL4179","CHEMBL4179",0.108,1
"CHEMBL3795","CHEMBL3795",0.109,1
"CHEMBL5518","CHEMBL5518",0.109,1
"CHEMBL1908389","CHEMBL1908389",0.11,1
"CHEMBL2321613","CHEMBL2321613",0.11,1
"CHEMBL242","CHEMBL242",0.11,1
"CHEMBL2000","CHEMBL2000",0.111,1
"CHEMBL2611","CHEMBL2611",0.112,1
"CHEMBL283","CHEMBL283",0.112,1
"CHEMBL3192","CHEMBL3192",0.112,1
"CHEMBL4280","CHEMBL4280",0.112,1
"CHEMBL4973","CHEMBL4973",0.113,1
"CHEMBL5847","CHEMBL5847",0.113,1
"CHEMBL1255150","CHEMBL1255150",0.114,1
"CHEMBL2034807","CHEMBL2034807",0.114,1
"CHEMBL2717","CHEMBL2717",0.114,1
"CHEMBL5570","CHEMBL5570",0.115,1
"CHEMBL5790","CHEMBL5790",0.115,1
"CHEMBL5861","CHEMBL5861",0.115,1
"CHEMBL6030","CHEMBL6030",0.115,1
"CHEMBL1795195","CHEMBL1795195",0.116,1
"CHEMBL1903","CHEMBL1903",0.116,1
"CHEMBL3422","CHEMBL3422",0.116,1
"CHEMBL4522","CHEMBL4522",0.116,1
"CHEMBL1906","CHEMBL1906",0.117,1
"CHEMBL1997","CHEMBL1997",0.117,1
"CHEMBL2492","CHEMBL2492",0.117,1
"CHEMBL4530","CHEMBL4530",0.117,1
"CHEMBL5703","CHEMBL5703",0.118,1
"CHEMBL3056","CHEMBL3056",0.119,1
"CHEMBL5608","CHEMBL5608",0.12,1
"CHEMBL4439","CHEMBL4439",0.121,1
"CHEMBL5545","CHEMBL5545",0.121,1
"CHEMBL1907589","CHEMBL1907589",0.122,1
"CHEMBL3587","CHEMBL3587",0.122,1
"CHEMBL2274","CHEMBL2274",0.123,1
"CHEMBL3230","CHEMBL3230",0.123,1
"CHEMBL3559","CHEMBL3559",0.123,1
"CHEMBL5401","CHEMBL5401",0.124,1
"CHEMBL2652","CHEMBL2652",0.125,1
"CHEMBL5776","CHEMBL5776",0.125,1
"CHEMBL2094118","CHEMBL2094118",0.127,1
"CHEMBL1908","CHEMBL1908",0.128,1
"CHEMBL2456","CHEMBL2456",0.128,1
"CHEMBL2748","CHEMBL2748",0.128,1
"CHEMBL3310","CHEMBL3310",0.128,1
"CHEMBL4391","CHEMBL4391",0.128,1
"CHEMBL5137","CHEMBL5137",0.128,1
"CHEMBL5281","CHEMBL5281",0.128,1
"CHEMBL5467","CHEMBL5467",0.128,1
"CHEMBL3691","CHEMBL3691",0.129,1
"CHEMBL1908386","CHEMBL1908386",0.131,1
"CHEMBL1907608","CHEMBL1907608",0.132,1
"CHEMBL206","CHEMBL206",0.132,1
"CHEMBL1824","CHEMBL1824",0.133,1
"CHEMBL3429","CHEMBL3429",0.134,1
"CHEMBL3508","CHEMBL3508",0.134,1
"CHEMBL3047","CHEMBL3047",0.135,1
"CHEMBL5499","CHEMBL5499",0.135,1
"CHEMBL1770034","CHEMBL1770034",0.136,1
"CHEMBL2096909","CHEMBL2096909",0.136,1
"CHEMBL2364701","CHEMBL2364701",0.136,1
"CHEMBL1781","CHEMBL1781",0.137,1
"CHEMBL1978","CHEMBL1978",0.137,1
"CHEMBL2318","CHEMBL2318",0.137,1
"CHEMBL4796","CHEMBL4796",0.137,1
"CHEMBL2094253","CHEMBL2094253",0.138,1
"CHEMBL4487","CHEMBL4487",0.138,1
"CHEMBL5073","CHEMBL5073",0.138,1
"CHEMBL1163125","CHEMBL1163125",0.139,1
"CHEMBL5938","CHEMBL5938",0.139,1
"CHEMBL5435","CHEMBL5435",0.14,1
"CHEMBL2094119","CHEMBL2094119",0.141,1
"CHEMBL4502","CHEMBL4502",0.142,1
"CHEMBL5701","CHEMBL5701",0.142,1
"CHEMBL2231","CHEMBL2231",0.145,1
"CHEMBL2940","CHEMBL2940",0.145,1
"CHEMBL4878","CHEMBL4878",0.145,1
"CHEMBL4883","CHEMBL4883",0.145,1
"CHEMBL5080","CHEMBL5080",0.145,1
"CHEMBL5963","CHEMBL5963",0.146,1
"CHEMBL3050","CHEMBL3050",0.147,1
"CHEMBL3425388","CHEMBL3425388",0.147,1
"CHEMBL3836","CHEMBL3836",0.147,1
"CHEMBL1075167","CHEMBL1075167",0.148,1
"CHEMBL3132741","CHEMBL3132741",0.148,1
"CHEMBL2096680","CHEMBL2096680",0.149,1
"CHEMBL2285","CHEMBL2285",0.149,1
"CHEMBL2373","CHEMBL2373",0.149,1
"CHEMBL2720","CHEMBL2720",0.149,1
"CHEMBL310","CHEMBL310",0.149,1
"CHEMBL3596","CHEMBL3596",0.149,1
"CHEMBL3709","CHEMBL3709",0.149,1
"CHEMBL4004","CHEMBL4004",0.149,1
"CHEMBL5982","CHEMBL5982",0.149,1
"CHEMBL1835","CHEMBL1835",0.15,1
"CHEMBL1981","CHEMBL1981",0.15,1
"CHEMBL233","CHEMBL233",0.151,1
"CHEMBL239","CHEMBL239",0.151,1
"CHEMBL5366","CHEMBL5366",0.151,1
"CHEMBL3751","CHEMBL3751",0.153,1
"CHEMBL4577","CHEMBL4577",0.153,1
"CHEMBL2095150","CHEMBL2095150",0.156,1
"CHEMBL2334","CHEMBL2334",0.156,1
"CHEMBL2468","CHEMBL2468",0.156,1
"CHEMBL3009","CHEMBL3009",0.156,1
"CHEMBL1075289","CHEMBL1075289",0.157,1
"CHEMBL4588","CHEMBL4588",0.157,1
"CHEMBL6154","CHEMBL6154",0.157,1
"CHEMBL1946","CHEMBL1946",0.158,1
"CHEMBL2563","CHEMBL2563",0.158,1
"CHEMBL3830","CHEMBL3830",0.159,1
"CHEMBL1293237","CHEMBL1293237",0.16,1
"CHEMBL2721","CHEMBL2721",0.16,1
"CHEMBL2873","CHEMBL2873",0.16,1
"CHEMBL332","CHEMBL332",0.16,1
"CHEMBL4303","CHEMBL4303",0.16,1
"CHEMBL5784","CHEMBL5784",0.161,1
"CHEMBL3455","CHEMBL3455",0.162,1
"CHEMBL4574","CHEMBL4574",0.162,1
"CHEMBL2553","CHEMBL2553",0.163,1
"CHEMBL307","CHEMBL307",0.165,1
"CHEMBL2998","CHEMBL2998",0.167,1
"CHEMBL2111456","CHEMBL2111456",0.168,1
"CHEMBL2528","CHEMBL2528",0.168,1
"CHEMBL2805","CHEMBL2805",0.168,1
"CHEMBL4277","CHEMBL4277",0.168,1
"CHEMBL5862","CHEMBL5862",0.168,1
"CHEMBL5879","CHEMBL5879",0.168,1
"CHEMBL6079","CHEMBL6079",0.168,1
"CHEMBL2473","CHEMBL2473",0.169,1
"CHEMBL4081","CHEMBL4081",0.17,1
"CHEMBL5310","CHEMBL5310",0.17,1
"CHEMBL2966","CHEMBL2966",0.171,1
"CHEMBL2052039","CHEMBL2052039",0.174,1
"CHEMBL4924","CHEMBL4924",0.174,1
"CHEMBL3308","CHEMBL3308",0.175,1
"CHEMBL4226","CHEMBL4226",0.175,1
"CHEMBL4828","CHEMBL4828",0.176,1
"CHEMBL1792","CHEMBL1792",0.178,1
"CHEMBL4898","CHEMBL4898",0.179,1
"CHEMBL5316","CHEMBL5316",0.179,1
"CHEMBL1075134","CHEMBL1075134",0.18,1
"CHEMBL2111391","CHEMBL2111391",0.18,1
"CHEMBL4959","CHEMBL4959",0.18,1
"CHEMBL209","CHEMBL209",0.181,1
"CHEMBL2897","CHEMBL2897",0.181,1
"CHEMBL2111357","CHEMBL2111357",0.182,1
"CHEMBL2567","CHEMBL2567",0.182,1
"CHEMBL3638","CHEMBL3638",0.182,1
"CHEMBL4315","CHEMBL4315",0.184,1
"CHEMBL2181","CHEMBL2181",0.185,1
"CHEMBL4820","CHEMBL4820",0.185,1
"CHEMBL5000","CHEMBL5000",0.185,1
"CHEMBL2625","CHEMBL2625",0.186,1
"CHEMBL5667","CHEMBL5667",0.186,1
"CHEMBL1293287","CHEMBL1293287",0.187,1
"CHEMBL3911","CHEMBL3911",0.187,1
"CHEMBL3250","CHEMBL3250",0.188,1
"CHEMBL5409","CHEMBL5409",0.188,1
"CHEMBL5415","CHEMBL5415",0.188,1
"CHEMBL3019","CHEMBL3019",0.189,1
"CHEMBL2518","CHEMBL2518",0.191,1
"CHEMBL3150","CHEMBL3150",0.191,1
"CHEMBL1798","CHEMBL1798",0.193,1
"CHEMBL2069161","CHEMBL2069161",0.193,1
"CHEMBL208","CHEMBL208",0.193,1
"CHEMBL2095184","CHEMBL2095184",0.193,1
"CHEMBL2609","CHEMBL2609",0.193,1
"CHEMBL2994","CHEMBL2994",0.193,1
"CHEMBL3419","CHEMBL3419",0.193,1
"CHEMBL3439","CHEMBL3439",0.193,1
"CHEMBL3457","CHEMBL3457",0.193,1
"CHEMBL3460","CHEMBL3460",0.193,1
"CHEMBL3728","CHEMBL3728",0.193,1
"CHEMBL3815","CHEMBL3815",0.193,1
"CHEMBL5098","CHEMBL5098",0.193,1
"CHEMBL5327","CHEMBL5327",0.193,1
"CHEMBL5332","CHEMBL5332",0.193,1
"CHEMBL5626","CHEMBL5626",0.193,1
"CHEMBL5689","CHEMBL5689",0.193,1
"CHEMBL5990","CHEMBL5990",0.193,1
"CHEMBL1908382","CHEMBL1908382",0.194,1
"CHEMBL5427","CHEMBL5427",0.194,1
"CHEMBL3683","CHEMBL3683",0.195,1
"CHEMBL4085","CHEMBL4085",0.195,1
"CHEMBL4241","CHEMBL4241",0.195,1
"CHEMBL4516","CHEMBL4516",0.195,1
"CHEMBL1287623","CHEMBL1287623",0.196,1
"CHEMBL3421","CHEMBL3421",0.196,1
"CHEMBL4409","CHEMBL4409",0.196,1
"CHEMBL5600","CHEMBL5600",0.196,1
"CHEMBL4708","CHEMBL4708",0.197,1
"CHEMBL1741186","CHEMBL1741186",0.198,1
"CHEMBL3831","CHEMBL3831",0.198,1
"CHEMBL3938","CHEMBL3938",0.198,1
"CHEMBL4581","CHEMBL4581",0.198,1
"CHEMBL5251","CHEMBL5251",0.198,1
"CHEMBL221","CHEMBL221",0.199,1
"CHEMBL4425","CHEMBL4425",0.199,1
"CHEMBL2810","CHEMBL2810",0.2,1
"CHEMBL285","CHEMBL285",0.2,1
"CHEMBL1801","CHEMBL1801",0.201,1
"CHEMBL3176","CHEMBL3176",0.201,1
"CHEMBL4681","CHEMBL4681",0.201,1
"CHEMBL5607","CHEMBL5607",0.201,1
"CHEMBL3391","CHEMBL3391",0.202,1
"CHEMBL5698","CHEMBL5698",0.202,1
